id,name,mrp,sp,category
4.793E+12,gS nE.a,620,595,
8.72061E+12,",smagka f;a",370,370,
5.06331E+12,",dTacS",295,260,
5.06331E+12,",dTacS",150,130,
5.06331E+12,",dTacS",615,615,
4.79602E+12,lyg fmdfrdkaoqj,95,95,
4.79103E+12,rka lyg,50,50,
4.793E+12,fykavarala f;a,210,210,
5.06331E+12,"isf,dkagd ",180,180,
8.72061E+12,",smagka",190,190,
4.79202E+12,riuqiq,30,30,
4.79601E+12,"Wuau,lv mjqvra",60,60,
4.79202E+12,fkiags,70,70,
4.79601E+12,"msfhdafv,a",60,60,
4.79202E+12,"fkiagfuda,aga",60,60,
4.79601E+12,jSjd,70,70,
4.79109E+12,wekalra,215,215,
4.79109E+12,r;a;s,215,215,
4.79602E+12,nSu lqvq,40,40,
8.8881E+12,nsialga melga,50,50,
4.79211E+12,iufmdaI,100,100,
4.79202E+12,"uhsf,da",50,50,
4.79109E+12,r;a;s,70,68,
4.79602E+12,nSu lqvq,40,40,
6.92105E+12,mskga,60,60,
6.92105E+12,mskga,280,280,
4.79219E+12,mskga,150,150,
4.796E+12,mskga,170,170,
4.79601E+12,luaIaraga ,80,80,
4.79202E+12,ksjafodaI,25,25,
4.796E+12,mskga,320,320,
4.79214E+12,gsmsgsma,60,53,
4.79214E+12,gsmsgsma,80,80,
8.8881E+12,nsialga melga,50,50,
8.8881E+12,nsialga melga,50,50,
8.8881E+12,nsialga melga,50,50,
8.8881E+12,nsialga melga,50,50,
8.8881E+12,nsialga melga,50,50,
4.796E+12,fikagmqga,10,10,
4.79219E+12,"fmn,aia",20,20,
4.79219E+12,fpdfld kga,20,20,
8.8881E+12,"fmn,aia",20,20,
