id,බ්ප්,mrp,sp,category
4.80E+12,වොන්ඩලයිට් ,80,80,
4.79E+12,සන්ලයිට්,150,145,
4.79E+12,සන්ලයිට්,150,145,
4.79E+12,ලයිප්බොයි ,125,125,
4.79E+12,ලයිප්බොයි ,150,150,
4.79E+12,පෙයාස් සබන්,145,140,
8.90E+12,කම්ෂ්ර්ට් ,1290,1290,
4.80E+12,විම් දියර,425,425,
4.80E+12,සන්ලයිට් කෙයා,590,590,
4.79E+12,දීවා,25,25,
4.79E+12,දීවා,430,380,
4.79E+12,දීවා,430,380,
4.79E+12,දීවා,430,380,
4.79E+12,දීවා,25,25,
4.79E+12,දීවා,99,99,
4.79E+12,දිරිය,350,300,
4.80E+12,සන්ලයිටි කුඩු,450,380,
4.80E+12,සන්ලයිටි කුඩු,450,380,
4.80E+12,සන්ලයිටි කුඩු,25,25,
4.80E+12,සන්ලයිටි කුඩු,25,25,
4.80E+12,රින්,20,20,
4.80E+12,සර්පෙක්සල්,540,540,
4.80E+12,සර්පෙක්සල්,400,400,
4.80E+12,සුපිරිසිදු,330,330,
4.80E+12,එයා පෙෂ්නර්,670,670,
4.80E+12,ග්ලාස් ක්ලීනර්,450,450,
4.79E+12,ලයිසෝල්,250,250,
4.79E+12,ලයිසෝල්,250,250,
4.79E+12,ලයිසෝල්,250,250,
4.79E+12,කාර් වොෂ්,400,400,
4.79E+12,ක්ලෝරෙක්ස්,290,290,
8.90E+12,හිට්,1050,1050,
8.90E+12,හිට්,790,790,
4.79E+12,මෝටීන්,1350,1350,
4.79E+12,හාපික්,480,480,
4.79E+12,හාපික්,480,480,
4.79E+12,හාපික්,480,480,
4.79E+12,ලයවිසෝල්,500,500,
4.79E+12,ඩෙටෝල් දියර,195,195,
4.79E+12,ඩෙටෝල් දියර,340,340,
8.90E+12,ගුඩ් නය්ට්,800,800,
8.90E+12,ගුඩ් නය්ට්,180,180,
